id,title
2enn-s52j,This table represents details of Family Health Plus insurance program. Family Health Plus is a public health insurance program for adults between the ages of 19 and 64 who do not have health insurance - either on their own or through their employers - but have incomes too high to qualify for Medicaid.  The Family Health Plus Premium Assistance Program is available to help eligible lower-income employees and their families participate in their employer’s health insurance plan.
2eq2-trdu,"This table displays currently advertised projects (type of work), estimated range ($) for project completion, bid date, time and projects description along with Project ID. It also provides link to plan holders information."
2fpa-bnsx,"Data providing the location, type and capacity of public and private community facilities in New York City, including schools, parks, libraries, public safety, day care, foster care, special needs housing, health and mental health facilities and programs. Additional data included to provide location of transportation and waste management facilities."
2ghx-qqsj,Certificate of Fitness Schedule of Fees
2hr8-czpv,Nature Centers in New York City Department of Parks & Recreation properties.
2iia-33q9,CCRB: Disposition of Abuse of Authority Allegations 2007
2ij3-wj64,"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
2jj7-gj6x,"Worst case hurricane surge inundation areas for category 1 through 4 hurricanes, based on the bearing of the storm. The bearing is the direction towards which the storm is moving. These inundation areas are based on the National Hurricane Center's 2010 SLOSH (Sea Lake and Overland Surge from Hurricanes) Model for the NY3 basin.  The zones are created with the assumption that the storm surge will hit at high tide, which is assumed to be 2 feet for the entire region."
2jnq-tef6,Detention and Placement incident statistics reported in compliance with Introduction 153-A and 37-A passed by the New York City Council.
2mvc-qg9q,"Mapbox makes it easy to find bars on foursquare, search for hotels on Hipmunk, and organize notes in Evernote. With Mapbox, design and publish maps that tell stories, integrate with apps, and represent brands. For questions or comments, contact: alex@mapbox.com"
2n64-63dq,Out-of-School Youth
2np7-5jsg,"This dataset includes trip records from all trips completed in green taxis in NYC in 2014.  Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Livery Passenger Enhancement Program (LPEP).  The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data."
2p3a-y7d4,Listing of planned actions to continue provision of human/client services
2pkz-byyb,"The SCA’s comprehensive capital planning process includes developing and analyzing quality data, creating and updating the Department of Education’s Five-Year Capital Plans, and monitoring projects through completion. The SCA prioritizes capital projects to best meet the capacity and building improvements needs throughout the City.  Additionally, the SCA assures that the Capital Plan aligns with New York State and City Department of Education mandates, academic initiatives, and budgetary resources.  This is one of the most current published reports."
2pmj-y4p4,Official audited register by school.
2pmt-skyq,"2010 steam consumption in mlbs and Mg, by ZIP code and building type."
2q48-ip9a,"Wi-Fi Provider: LinkNYC - CityBridge, LLC (Free): LinkNYC 1 gigabyte (GB), Free Wi-Fi Internet Kiosks, Free Nation Wide Phone Locals Map"
2qj2-cctx,Planimetric basemap line layer containing shoreline features
2rd2-9uwy,Local Law 50 of 2011 required MOCS to establish guidelines for City agencies that assist in increasing the purchase of New York State food through food purchase and food-related services contracts. City agencies use the New York State Department of Agriculture and Markets (NYSDAM) list of food items available from New York State sources.
2t32-hbca,Demographic statistics broken down by assembly districts
2v4z-66xt,"GIS data:  A single line street base map representing the city's streets and other linear geographic features, along with feature names and address ranges for each addressable street segment.  This dataset includes the Nodes file.  The Nodes file contains a point feature and unique NodeID for each node that exists in the LION file. The Node_StreetName.txt file lists the street names associated with those nodes. Most nodes, representing intersections, will have at least 2 street names associated in the Node_StreetName.txt file"
2xh6-psuq,New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.
2zbg-i8fx,"The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
32y8-s55c,FDNY Line Of Duty Deaths
32yu-maz2,"Through HHC Options, low and moderate-income HHC patients can get affordable healthcare.  If a patient is not eligible for public insurance, we reduce the patient's fee to an affordable amount, based on family size and income. This data shows the minimum and maximum income at each level.
Update Frequency: As needed"
33c5-b922,The data tables summarizes the disinfection by-product results for TTHM and HAA5 from distribution sites and calculated compliance values for each quarter
33db-aeds,Total number of enrollees in Medicaid
35cc-g4mc,"Citywide Performance Reporting System (CPR) statistics pertaining to Department of Environmental Protection (DEP)  operations from July  2001 through June 2011.
Update Frequency: Annually"
35f6-8qd2,Denied registrants in the wholesale markets
35fd-ehz6,"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually"
35sw-rdxj,"Facilities in New York City, by agency and site,  that offer ""Beacon Programs"" after-school programs.
Update Schedule: Annually"
366m-74zg,"The Women, Infants and Children (WIC) Program is a special supplemental food program that provides nutritious foods, milk, juice, formula and other items to low income pregnant or breastfeeding women, infants and children up to age 5.This chart is only a guide. Individuals should see a WIC enrollment counselor for eligibility screening. Eligibility requirements include certain criteria and income levels as listed here. 
* Pregnant women count as two individuals.
NOTE: Chart effective July 1, 2012 to June 30, 2013; subject to annual income updates."
36hn-wea6,"Facilities in New York City, by agency and site, that offer “Out-Of -School Youth Employment (OSY) Program” after-school  job and internship programs for young adults ages 16 to 21.
Update Frequency: Annually"
37cg-gxjd,Population Numbers in New York City by Census Tracts
37fm-7uaa,"The  customer contact center locations, phone numbers and schedules"
37it-gmcp,This dataset contains information for buildings that have completed the certification process. These buildings are all publicly viewable on the WiredNYC website (www.wiredscore.com)
388s-pnvc,"This is a polygon shapefile of publicly accessible waterfront spaces in NYC containing jurisdictional and construction status information. The majority of these spaces were constructed in conjunction with private waterfront developments, pursuant to the NYC Zoning Resolution.  This feature class also includes spaces that are under construction (in progress), or have been approved through ULURP (Uniform Land Use Review Procedure) but construction of the waterfront spaces has not commenced.  The publicly owned spaces in this database do not include parks or open spaces under the jurisdiction of NYC Department of Parks and Recreation, NYS Office of Parks, Recreation & Historic Preservation, or the National Park Service.  This shapefile was used to create the City Waterfront Interactive Maps at http://www.nyc.gov/html/dcp/html/cwp/cw.shtml ."
38ib-pjw5,Latest available data and trends in graduation and dropout outcomes disaggregated by English Language Learner status.
3955-c36a,"Through HHC Options, low and moderate-income HHC patients can get affordable healthcare.  Based on the Level determined by family size and income, this table shows some of the most common fees paid for healthcare services through HHC options.
Update Frequency: As needed"
39pe-uzy3,Details about the NYCHA NORC Program Core Services
39yy-hdfd,"The data tables provides annual statistics on how much land we own, acquired, and total protected lands in the water shed"
3aim-ipk8,Empire Zones
3av7-txd8,"The sum of: the number of cases on the first day of the reporting period, plus all cases added during the reporting period."
3bkj-34v2,"Report of all DOE School Information including Principal and Superintendent names, Cluster, Network, SATIF, addresses & phone numbers."
3bpc-wa5v,CCRB: Gender of Alleged Victims Compared to New York City Demographics 2005 - 2009
3btx-p4av,"The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
3cdm-p29e,Planimetric basemap layer containing citywide 2-ft contour line features
3cn8-i54i,"This dataset is no longer maintained. Updated enrollment capacity and utilization data can be found at https://data.cityofnewyork.us/Education/Enrollment-Capacity-And-Utilization-Reports-Histor/hq56-zhrp
https://data.cityofnewyork.us/Education/Enrollment-Capacity-And-Utilization-Reports-Histor/q9xk-w9iv
https://data.cityofnewyork.us/Education/Enrollment-Capacity-And-Utilization-Reports-Target/gkd7-3vk7
https://data.cityofnewyork.us/Education/Enrollment-Capacity-And-Utilization-Reports-Target/8b9a-pywy

Enrollment, capacity and utilization data for every District 75 building and schools in those buildings."
3d3q-ijy5,2010 Disciplinary actions unlicensed plumbers
3f5y-5web,"The sum of: the number of cases on the first day of the reporting period, and all cases added during the reporting period"
3g65-5ni7,"You already know that NYTimes.com is an unparalleled source of news and information. But it's a premier source of data, too — why just read the news when you can hack it? The Times APIs allow you to work with rich sets of Times data, including article metadata and abstracts, movie reviews and best-seller lists, and NYTimes.com user comments. For questions or comments, contact: joseph.fiore@nytimes.com"
3gkd-ddzn,This list contains information on community board appointments.
3gx8-vrcy,Data to solve NYC ACRE's BigIdea
3h2n-5cm9,DOB Violations – A list of active DOB violations.
3h6b-pt5u,Total Crime Index for the Nation’s Largest Cities
3j9j-3cga,"Paratransit Bases provide pre-arranged transportation for passengers with disabilities. Most of the service takes individuals to and from health care facilities. This list includes license numbers, names(s) of licensees, addresses, and phone numbers."
3kcn-nsb5,"New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
3khw-qi8f,The Office of Citywide Purchasing (OCP) solicits and awards contracts for a wide variety of goods and services on behalf of all City agencies.
3m2q-9maw,Select Child Welfare indicators reported in compliance with Introduction 15 passed by the New York City Council in 2006
3mim-bd27,"This dataset is no longer maintained. Updated enrollment capacity and utilization data can be found at https://data.cityofnewyork.us/Education/Enrollment-Capacity-And-Utilization-Reports-Histor/hq56-zhrp
https://data.cityofnewyork.us/Education/Enrollment-Capacity-And-Utilization-Reports-Histor/q9xk-w9iv
https://data.cityofnewyork.us/Education/Enrollment-Capacity-And-Utilization-Reports-Target/gkd7-3vk7
https://data.cityofnewyork.us/Education/Enrollment-Capacity-And-Utilization-Reports-Target/8b9a-pywy

Enrollment, capacity and utilization data for every regular high school building and schools in those buildings."
3miu-myq2,"The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually"
3mji-gpg5,The number of presentence investigation reports completed for juveniles during the reporting period.
3mrr-8h5c,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by school.
3nja-bsch,New York Public Library (NYPL) branch services from July 2010 to June 2011(Manhattan)
3nm4-g97k,Leaks and Their Cost Fact Sheet
3nx4-m5h6,"Community Car Service Bases provide pre-arranged transportation throughout New York City. These bases range in size from small, neighborhood-based operations to large fleet-type companies that provide citywide service. This list includes detailed vehicle information, including affiliated base, license numbers, names(s) of licensees, DMV license plate and VIN numbers, license types, expiration date, model year, and whether the vehicle is a hybrid or stretch limousine."
3nxf-gbay,Day Care Center
3qfc-4tta,"Condominiums and cooperatives are valued as if they were residential rental apartments. Income information from similar rental properties is applied to determine value.
The Department of Finance (DOF) chooses similar properties to value condos and coops. Properties are selected based on a combination of factors such as: land location, income levels, building age and construction and exemptions and subsidies.
Update Schedule: Annually"
3rfa-3xsf,All 311 Requests from year 2009. This is historical data and will not be updated.
3spy-rjpw,Transportable Classroom Units- Buildings Only
3tfu-x2qk,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by school and ethnicity.
3ups-txji,"On or before September thirtieth, two thousand and three, and on or before the last day of every quarter thereafter, the mayor or his or her designee shall submit to the council and the comptroller a report detailing each small purchase award made pursuant to this section during the quarter that ended three months before such report is due and for which information is required to be contained in the computerized data base maintained pursuant to subdivision a of section 6-116.2 of the administrative code."
3v48-95hb,Health Codes as per the Department of Health and Mental Hygiene. The material included on is intended for informational purposes only and is not the official version of the New York City Administrative Code and Rules of the City of New York.
3vjv-6tf5,Directory Pools
3vvi-fwjs,Number of tax filers/payers and total city tax liability by income ranges
3w3r-v568,JFK Airtrain
42et-jh9v,Performance of NYC High Schools
42p9-q6fd,"Every year, all parents, all teachers, and students in grades 6 - 12 take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. 

Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. NYC School Survey results contribute 10% - 15% of a school's Progress Report grade (the exact contribution to the Progress Report is dependent on school type). Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. 

The NYC School Survey helps school leaders understand what key members of the school community say about the learning environment at each school. The information captured by the survey is designed to support a dialogue among all members of the school community about how to make the school a better place to learn. New York City parents, teachers, and students reached new participation heights on the 2010 School Survey. 922,694 surveys were submitted."
432v-a7hc,Population details of selected Asian Race Subgroups in New York City by Borough
43nn-pn8j,"This dataset provides restaurant inspections, violations, grades and adjudication information"
43qc-8vv8,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data reflects Charter Schools.
45i5-r9tu,"Air monitoring  for asbestos in and around the schools near the World Trade Center disaster site. 

Notes:
6/24/02 - Overloaded sample not analyzed
Total Volume = 1200 liters
Sampling Time = 8hrs.
f/cc = fibers per cubic centimeter
s/sqmm = structures per square millimeter
Overload = Indicates that the sampling filter was clogged and the sample could not be read with laboratory analysis."
46vt-ugs9,CCRB: Where Incidents that Led to a Complaint Took Place by Precinct - Manhattan 2005 - 2009
473p-afgy,New York city plant locations and capacities
47j6-38m5,2011 disciplinary actions filing representative (formerly expediter)
483x-fy9e,"""Ratio of Homeless Population to General Population in major US Cities in 2012. 
*This represents a list of large U.S. cities for which DHS was able to confirm a recent estimate of the unsheltered population.   Unsheltered estimates are from 2011 except for Seattle  and New York City (2012) and Chicago (2009).  All General Population figures are from the 2010 U.S. Census enumeration."""
48jx-usvd,City employee Base and Overtime Salary for Calendar Year 2014.
48pb-zy2g,List of Cable Service Providers in New York City
496p-fwvq,"Locations from the NYC Green Infrastructure initiative which presents an alternative approach to improving water quality that integrates “green infrastructure,” such as swales and green roofs, with investments to optimize the existing system and to build targeted, cost-effective “grey” or traditional infrastructure."
49kg-8sce,Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by district and gender.
4bew-e6kg,"This is a list of the 11 acute care hospitals, four skilled nursing facilities, six large diagnostic and treatment centers and community-based clinics that make up the New York City Health and Hospitals Corporation, NYC's public hospital system. HHC is a $6.7 billion integrated healthcare delivery system which serves 1.3 million New Yorkers every year and more than 450,000 are uninsured. It provides medical, mental health and substance abuse services.
Update Frequency: As needed"
4bg6-ub7f,RSS Feed displaying the weekly resurfacing schedule
4bjf-gu2s,"Click below link for instructions -  NOTE: Reservations and work for other bases may mean that a base’s wheelchair accessible vehicles will not be available when you call.
https://data.cityofnewyork.us/api/views/4bjf-gu2s/files/lHP_tPysYkwrr0epua7miq44WtyzK1_lAsOwL6dIH_w?download=true&filename=BaseFinderInstructionsVer2.pdf"
4e2n-s75z,This list is accurate as of the date contained in the Date Created field.
4e8h-wu86,"Adult supervision cases that have had an early discharge request filed with a local court during the reporting period. Categorized by: new early discharge (ED) requests submitted; ED requests approved; ED requests disapproved. Based on carryover of pending early discharge requests from month-to-month, the number of approvals plus disapprovals may not equal the number of requests per year."
4epu-t832,The number of active juvenile probation supervision cases on the last day of the reporting period (June 30)
4fif-5bmt,Acceptable Reduced Pressure Detector Assemblies.  Refer to the following report for additional details http://www.nyc.gov/html/dep/pdf/water_sewer/42_doh_supplement.pdf
4fnu-iufz,
4fsz-s7id,The number of adults sentenced to probation supervision during the reporting period.
4fvw-nn9c,Work orders associated with a CSR complaints
4g4r-7dfb,"Citywide Class Size Report, Borough, Program, and Grade or Service Category 

SOURCES: 10/31/06 Official Register (K-9) and 12/15/06 Register/Schedule (9-12)
#Grade 9 not in high schools
##Indicates how special class is delivered

For schools with students in any grades between Kindergarten and 9th grade (where 9th grade is the termination grade for the school), class size is reported by four program areas: general education, special education self-contained class, collaborative team teaching and gifted and talented self-contained class. Within each program area class size is reported by grade or service category, which indicates how a special education self-contained class is delivered. Class size is calculated by dividing the number of students in a program and grade by the number of official classes in that program and grade. 

The following data is excluded from all the reports: District 75 schools, bridge classes which span more than one grade, classes with fewer than five students (for other than special education self-contained classes) and classes with one student (for special education self-contained classes). On the summary reports programs and grades with three or fewer classes are excluded from the citywide, borough and region reports and programs and grades with one class are excluded from the district report. For schools with students in any grades between 9th and 12th grade (where 9th grade is not the termination grade for the school), class size is reported by two program areas: general education and special education. For general education students class size is reported by grade for each core subject area: English, Math, Science and Social Studies. For special education students with a self-contained program recommendation, class size is reported by service category (self-contained or mainstream) for each core subject area. Since high school classes may contain students in multiple grades and programs, class size is calculated by taking a weighted average of all the classes in a core subject area with students in a particular grade or program. For example, there are 75 ninth graders enrolled at a high school. 25 ninth graders attend a Math class with 28 students, a second group of 25 ninth graders attend a Math class with 25 students, and a third group of 25 ninth graders attend a Math class with 30 students. Average class size for ninth grade Math equals: (25x28 + 25x25 + 25x30)/75 = 27.7. 

The Pupil Teacher Ratio is also provided on the school level report. Pupil Teacher Ratio is another means to evaluate the instructional resources provided at a school. Pupil Teacher Ratio for All Students is calculated by dividing the number of students at a school by the number of full-time equivalent teachers, including both teachers in classes taught by two teachers, “cluster” teachers providing instruction in specialized topics like art or science, and teachers providing special education instruction. Pupil Teacher Ratio Excluding Special Education is calculated by dividing the number of non-special education students at a school by the number of full-time equivalent non-special education teachers."
4iq4-tuhq,NYC Address Points
4kse-vfnd,"New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam."
4kym-4xw5,Colleges and Universities
4n2j-ut8i,"Progress Reports grade each school with an A, B, C, D, or F.  These reports focus on a school's learning environment, student performance, and student progress.  They were designed to help parents, teachers, principals, and others understand how well schools are doing—and compare them to other, similar schools."
4nft-bihw,"Actions on Applications in 2015 Reducing Assessments or Reclassifying Property.  Listed here are Tax Commission actions during 2015 reducing assessments or reclassifying property.  KEY:  YR=Assessment year (14=2014/15; 15=2015/16); R=Reduction implemented by remission of taxes; B=Borough (1=Manhattan, 2=Bronx, 3=Brooklyn, 4=Queens, 5=Staten Island); TC=Tax Class or subclass. Classification claims.  Reductions are expressed in total actual assessed value.  For condominiums, actions shown are for representative lots only."
4p5v-sqmv,It contains the shape files for the REES Zone Maps as of January 2013
4px5-vncp,"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009.
Update Frequency: Annually"
4s7y-vm5x,"This file shows the range and distribution of class sizes within a particular grade and program type. For grades 5-9 (where available) and 9-12, the data are shown by program type and core subject.
Based on January 28, 2011 data.
* Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported."
4se9-mk53,The Law Department is composed of 17 legal divisions. Three support divisions provide high quality services to the Law Department's 650 attorneys.
4se9-u6dw,"This table represents details of Medicaid (coverage for children). Medicaid (coverage for children)  is available for many children in working families. Most children who are eligible for Medicaid (coverage for children) do receive their medical care through a health plan, and visit doctors and hospitals that accept that health plan. While ones application is being processed, Medicaid (coverage for children) may provide up to 90 days of retroactive coverage for unpaid medical bills, if eligible during those 90 days"
4szu-rxzq,"2012-2013 School Zones (as of July 1, 2012).  Files are in a GIS Shapefile format.  They are broken down by elementary school zones (NYC_E) and middle school zones (NYC_M)"
4tqt-y424,OPT does not operate any buses nor does it directly employ any bus drivers or attendants. Drivers and attendants (sometimes referred to as ‘matrons’ or ‘escorts’) and employed by bus vendors themselves. OPT manages systems and processes to ensure that drivers and attendants have all requisite background checks and certifications. The Driver and Attendant summary data is available for each bus vendor and describes the number of active employees by job type.
4u36-44pe,Adult and Continuing Education Sites
4v4n-gnh2,Data to solve NYC ACRE's BigIdea
4vf7-wwbk,"Capital Commitments City Funds($ IN MILLIONS)
FY 2002 - FY 2015 are actuals; FY 2016 - FY 2020 plan data as of the April 2016 Financial Plan"
4vsa-fhnm,CCRB: Reasons for Police-Civilian Encounters that Led to a Complaint 2005 - 2009
4wcq-bg6s,"Queens street tree census inventory

Update Frequency: As Needed"
53au-zf7x,Hydrography Structures
56bx-u7iw,HRA facts from the Office of Data Reporting and Analysis (ODRA)
56e3-rp8d,This list contains information on authorized SHL meter-shops.
56u5-n9sa,City Building Fuel Usage Data.
56u9-ryj4,"Facilities in New York City, by agency and site, that offer “In-School Youth Employment (ISY) Program” after-school  job and internship programs for students in High School.
Update Frequency: Annually"
59gn-q4ai,Designated barbecuing areas in New York City Department of Parks & Recreation properties.
59kj-x8nc,"The Department of Housing Preservation and Development (HPD) Housing Litigation Division (HLD) initiates' actions in the Housing Court against owners of privately-owned buildings to enforce compliance with the housing quality standards contained in the New York State Multiple Dwelling Law and the New York City Housing Maintenance Code.  HLD attorneys also represent HPD when tenants initiate actions against private owners.  HPD is automatically named as party to such actions.  The goal of these court proceedings is to obtain enforceable Orders to Correct, Civil Penalties (fines) and Contempt Sanctions, compelling owners to comply with the Housing Code."
59t5-r7nb,"Approved carting, Self-Haulers, Construction & Demolition companies names, addresses and contact number 
Denied carting companies names, addresses and contact number"
5b3a-rs48,"Twitter and Facebook statistics from various NYC agencies and organizations.

Update Frequency: As required"
5c4s-jwtq,Monthly trend statistics on SNAP supplemental nutrition assistance program recipients.
5c5x-3qz9,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by borough and English Language Learner status.
5c9e-33xj,ACRIS State mapping for Codes in the ACRIS Real and Personal Parties Property Datasets
5crx-5ivw,Data to solve NYC ACRE's BigIdea
5dic-xnxs,Railroad Structure
5e24-x4wa,"A list of business on Montague Street in Brooklyn.
Update Frequency: As needed"
5e35-afph,List of acceptable double check valve assemblies.  For more information refer to the manual located at the following link http://www.nyc.gov/html/dep/pdf/water_sewer/42_doh_supplement.pdf
5fkx-9rt5,"Earned Income Tax Credit Maximum Income Levels and Credit Amounts Tax Year 2012.
*MFJ-Married filing jointly"
5fn2-n363,Latest available data and trends in NYSED's Regents-based Aspirational Performance Measure (APM) by school and Ethnicity.
5fn4-dr26,"This data set features DCA-issued charges during the last and current calendar years to ensure compliance with local consumer protection and licensing laws, and State and federal regulations."
5fsg-d8c9,"Progress Reports grade each school with an A, B, C, D, or F.  These reports focus on a school's learning environment, student performance, and student progress.  They were designed to help parents, teachers, principals, and others understand how well schools are doing—and compare them to other, similar schools."
5gde-fmj3,"On September 25, 2013, New York City released the 2012 energy and water use data for all properties required to annually benchmark under Local Law 84. New York City is the first in the nation to publicly disclose data for large multifamily buildings. Approximately a million New Yorkers can now see how much energy and water their apartment buildings consumed in 2012.

The new data set includes more than 9,000 self-reported multifamily properties, effectively more than tripling the size of the first year's list. The data also represents the first year's results of both manual and automatic water benchmarking, with more than 6,800 properties reporting water data."
5gxs-yzxw,Latest available data and trends in NYSED's Regents-based Aspirational Performance Measure (APM) by school and disability status
